,state,State Name,disease,Number of Hepatitis Cases,"Hepatitis Incidence Per 100,000 People",year,number_week
10457,WV,WEST VIRGINIA,HEPATITIS A,1,0.06,1970,29
10458,WY,WYOMING,HEPATITIS A,1,0.29,1970,29
10459,AK,ALASKA,HEPATITIS A,28,8.87,1970,30
10460,AL,ALABAMA,HEPATITIS A,13,0.37,1970,30
10461,AR,ARKANSAS,HEPATITIS A,6,0.3,1970,30
10462,AZ,ARIZONA,HEPATITIS A,8,0.42,1970,30
10463,CA,CALIFORNIA,HEPATITIS A,221,1.09,1970,30
10464,CO,COLORADO,HEPATITIS A,13,0.56,1970,30
10465,CT,CONNECTICUT,HEPATITIS A,11,0.36,1970,30
10466,DC,DISTRICT OF COLUMBIA,HEPATITIS A,2,0.27,1970,30
10467,DE,DELAWARE,HEPATITIS A,3,0.53,1970,30
10468,FL,FLORIDA,HEPATITIS A,30,0.42,1970,30
10469,GA,GEORGIA,HEPATITIS A,2,0.04,1970,30
10470,HI,HAWAII,HEPATITIS A,6,0.75,1970,30
10471,IA,IOWA,HEPATITIS A,2,0.07,1970,30
10472,ID,IDAHO,HEPATITIS A,3,0.41,1970,30
10473,IL,ILLINOIS,HEPATITIS A,34,0.3,1970,30
10474,IN,INDIANA,HEPATITIS A,8,0.15,1970,30
10475,KS,KANSAS,HEPATITIS A,11,0.49,1970,30
10476,KY,KENTUCKY,HEPATITIS A,9,0.27,1970,30
10477,LA,LOUISIANA,HEPATITIS A,9,0.24,1970,30
10478,MA,MASSACHUSETTS,HEPATITIS A,31,0.54,1970,30
10479,MD,MARYLAND,HEPATITIS A,181,4.5,1970,30
10480,ME,MAINE,HEPATITIS A,14,1.38,1970,30
10481,MI,MICHIGAN,HEPATITIS A,77,0.86,1970,30
10482,MN,MINNESOTA,HEPATITIS A,6,0.16,1970,30
10483,MO,MISSOURI,HEPATITIS A,16,0.34,1970,30
10484,MS,MISSISSIPPI,HEPATITIS A,5,0.22,1970,30
10485,MT,MONTANA,HEPATITIS A,2,0.28,1970,30
10486,NC,NORTH CAROLINA,HEPATITIS A,27,0.52,1970,30
10487,NE,NEBRASKA,HEPATITIS A,3,0.2,1970,30
10488,NH,NEW HAMPSHIRE,HEPATITIS A,3,0.39,1970,30
10489,NJ,NEW JERSEY,HEPATITIS A,62,0.85,1970,30
10490,NM,NEW MEXICO,HEPATITIS A,2,0.19,1970,30
10491,NV,NEVADA,HEPATITIS A,1,0.19,1970,30
10492,NY,NEW YORK,HEPATITIS A,120,0.65,1970,30
10493,OH,OHIO,HEPATITIS A,27,0.25,1970,30
10494,OK,OKLAHOMA,HEPATITIS A,6,0.23,1970,30
10495,OR,OREGON,HEPATITIS A,11,0.51,1970,30
10496,PA,PENNSYLVANIA,HEPATITIS A,47,0.4,1970,30
10497,RI,RHODE ISLAND,HEPATITIS A,17,1.77,1970,30
10498,SC,SOUTH CAROLINA,HEPATITIS A,5,0.19,1970,30
10499,TN,TENNESSEE,HEPATITIS A,28,0.7,1970,30
10500,TX,TEXAS,HEPATITIS A,62,0.54,1970,30
10501,UT,UTAH,HEPATITIS A,6,0.54,1970,30
10502,VA,VIRGINIA,HEPATITIS A,56,1.18,1970,30
10503,VT,VERMONT,HEPATITIS A,14,3.08,1970,30
10504,WA,WASHINGTON,HEPATITIS A,9,0.26,1970,30
10505,WI,WISCONSIN,HEPATITIS A,18,0.4,1970,30
10506,WV,WEST VIRGINIA,HEPATITIS A,5,0.28,1970,30
10507,AL,ALABAMA,HEPATITIS A,12,0.34,1970,31
10508,AR,ARKANSAS,HEPATITIS A,4,0.2,1970,31
10509,AZ,ARIZONA,HEPATITIS A,17,0.9,1970,31
10510,CA,CALIFORNIA,HEPATITIS A,203,1.0,1970,31
10511,CO,COLORADO,HEPATITIS A,23,1.0,1970,31
10512,CT,CONNECTICUT,HEPATITIS A,20,0.65,1970,31
10513,DC,DISTRICT OF COLUMBIA,HEPATITIS A,2,0.27,1970,31
10514,DE,DELAWARE,HEPATITIS A,6,1.06,1970,31
10515,FL,FLORIDA,HEPATITIS A,50,0.7,1970,31
10516,GA,GEORGIA,HEPATITIS A,10,0.21,1970,31
10517,HI,HAWAII,HEPATITIS A,10,1.25,1970,31
10518,IA,IOWA,HEPATITIS A,6,0.21,1970,31
10519,IL,ILLINOIS,HEPATITIS A,56,0.5,1970,31
10520,IN,INDIANA,HEPATITIS A,1,0.02,1970,31
10521,KS,KANSAS,HEPATITIS A,8,0.36,1970,31
10522,KY,KENTUCKY,HEPATITIS A,16,0.49,1970,31
10523,LA,LOUISIANA,HEPATITIS A,8,0.22,1970,31
10524,MA,MASSACHUSETTS,HEPATITIS A,19,0.33,1970,31
10525,MD,MARYLAND,HEPATITIS A,14,0.35,1970,31
10526,ME,MAINE,HEPATITIS A,5,0.49,1970,31
10527,MI,MICHIGAN,HEPATITIS A,87,0.97,1970,31
10528,MN,MINNESOTA,HEPATITIS A,3,0.08,1970,31
10529,MO,MISSOURI,HEPATITIS A,16,0.34,1970,31
10530,MS,MISSISSIPPI,HEPATITIS A,4,0.18,1970,31
10531,MT,MONTANA,HEPATITIS A,3,0.42,1970,31
10532,NC,NORTH CAROLINA,HEPATITIS A,5,0.1,1970,31
10533,NE,NEBRASKA,HEPATITIS A,2,0.13,1970,31
10534,NH,NEW HAMPSHIRE,HEPATITIS A,4,0.53,1970,31
10535,NJ,NEW JERSEY,HEPATITIS A,67,0.92,1970,31
10536,NM,NEW MEXICO,HEPATITIS A,5,0.47,1970,31
10537,NV,NEVADA,HEPATITIS A,11,2.12,1970,31
10538,NY,NEW YORK,HEPATITIS A,95,0.52,1970,31
10539,OH,OHIO,HEPATITIS A,33,0.31,1970,31
10540,OK,OKLAHOMA,HEPATITIS A,10,0.38,1970,31
10541,OR,OREGON,HEPATITIS A,13,0.6,1970,31
10542,PA,PENNSYLVANIA,HEPATITIS A,55,0.46,1970,31
10543,RI,RHODE ISLAND,HEPATITIS A,11,1.14,1970,31
10544,SC,SOUTH CAROLINA,HEPATITIS A,4,0.15,1970,31
10545,TN,TENNESSEE,HEPATITIS A,13,0.32,1970,31
10546,TX,TEXAS,HEPATITIS A,59,0.51,1970,31
10547,UT,UTAH,HEPATITIS A,12,1.09,1970,31
10548,VA,VIRGINIA,HEPATITIS A,15,0.32,1970,31
10549,VT,VERMONT,HEPATITIS A,2,0.44,1970,31
10550,WA,WASHINGTON,HEPATITIS A,45,1.31,1970,31
10551,WI,WISCONSIN,HEPATITIS A,19,0.43,1970,31
10552,WV,WEST VIRGINIA,HEPATITIS A,7,0.4,1970,31
10553,WY,WYOMING,HEPATITIS A,2,0.59,1970,31
10554,AK,ALASKA,HEPATITIS A,2,0.63,1970,32
10555,AL,ALABAMA,HEPATITIS A,12,0.34,1970,32
10556,AR,ARKANSAS,HEPATITIS A,5,0.25,1970,32
10557,AZ,ARIZONA,HEPATITIS A,10,0.53,1970,32
10558,CA,CALIFORNIA,HEPATITIS A,185,0.91,1970,32
10559,CO,COLORADO,HEPATITIS A,27,1.17,1970,32
10560,CT,CONNECTICUT,HEPATITIS A,13,0.42,1970,32
10561,DC,DISTRICT OF COLUMBIA,HEPATITIS A,1,0.13,1970,32
10562,DE,DELAWARE,HEPATITIS A,7,1.24,1970,32
10563,FL,FLORIDA,HEPATITIS A,51,0.71,1970,32
10564,GA,GEORGIA,HEPATITIS A,12,0.25,1970,32
10565,HI,HAWAII,HEPATITIS A,4,0.5,1970,32
10566,IA,IOWA,HEPATITIS A,4,0.14,1970,32
10567,ID,IDAHO,HEPATITIS A,2,0.27,1970,32
10568,IL,ILLINOIS,HEPATITIS A,35,0.31,1970,32
10569,IN,INDIANA,HEPATITIS A,10,0.19,1970,32
10570,KS,KANSAS,HEPATITIS A,6,0.27,1970,32
10571,KY,KENTUCKY,HEPATITIS A,11,0.33,1970,32
10572,LA,LOUISIANA,HEPATITIS A,14,0.38,1970,32
10573,MA,MASSACHUSETTS,HEPATITIS A,49,0.85,1970,32
10574,MD,MARYLAND,HEPATITIS A,16,0.4,1970,32
10575,ME,MAINE,HEPATITIS A,16,1.58,1970,32
10576,MI,MICHIGAN,HEPATITIS A,46,0.51,1970,32
10577,MN,MINNESOTA,HEPATITIS A,6,0.16,1970,32
10578,MO,MISSOURI,HEPATITIS A,8,0.17,1970,32
10579,MT,MONTANA,HEPATITIS A,6,0.84,1970,32
10580,NC,NORTH CAROLINA,HEPATITIS A,11,0.21,1970,32
10581,NE,NEBRASKA,HEPATITIS A,1,0.07,1970,32
10582,NH,NEW HAMPSHIRE,HEPATITIS A,4,0.53,1970,32
10583,NJ,NEW JERSEY,HEPATITIS A,85,1.17,1970,32
10584,NM,NEW MEXICO,HEPATITIS A,6,0.57,1970,32
10585,NY,NEW YORK,HEPATITIS A,115,0.63,1970,32
10586,OH,OHIO,HEPATITIS A,36,0.34,1970,32
10587,OK,OKLAHOMA,HEPATITIS A,5,0.19,1970,32
10588,OR,OREGON,HEPATITIS A,12,0.56,1970,32
10589,PA,PENNSYLVANIA,HEPATITIS A,37,0.31,1970,32
10590,RI,RHODE ISLAND,HEPATITIS A,16,1.66,1970,32
10591,SC,SOUTH CAROLINA,HEPATITIS A,3,0.11,1970,32
10592,TN,TENNESSEE,HEPATITIS A,17,0.42,1970,32
10593,TX,TEXAS,HEPATITIS A,36,0.31,1970,32
10594,UT,UTAH,HEPATITIS A,7,0.64,1970,32
10595,VA,VIRGINIA,HEPATITIS A,6,0.13,1970,32
10596,VT,VERMONT,HEPATITIS A,9,1.98,1970,32
10597,WA,WASHINGTON,HEPATITIS A,30,0.87,1970,32
10598,WI,WISCONSIN,HEPATITIS A,5,0.11,1970,32
10599,WV,WEST VIRGINIA,HEPATITIS A,9,0.51,1970,32
10600,WY,WYOMING,HEPATITIS A,1,0.29,1970,32
10601,AK,ALASKA,HEPATITIS A,3,0.95,1970,33
10602,AL,ALABAMA,HEPATITIS A,9,0.26,1970,33
10603,AR,ARKANSAS,HEPATITIS A,1,0.05,1970,33
10604,AZ,ARIZONA,HEPATITIS A,16,0.84,1970,33
10605,CA,CALIFORNIA,HEPATITIS A,183,0.9,1970,33
10606,CT,CONNECTICUT,HEPATITIS A,13,0.42,1970,33
10607,DC,DISTRICT OF COLUMBIA,HEPATITIS A,6,0.8,1970,33
10608,FL,FLORIDA,HEPATITIS A,87,1.22,1970,33
10609,GA,GEORGIA,HEPATITIS A,28,0.59,1970,33
10610,HI,HAWAII,HEPATITIS A,1,0.12,1970,33
10611,IA,IOWA,HEPATITIS A,8,0.28,1970,33
10612,ID,IDAHO,HEPATITIS A,3,0.41,1970,33
10613,IL,ILLINOIS,HEPATITIS A,27,0.24,1970,33
10614,IN,INDIANA,HEPATITIS A,11,0.21,1970,33
10615,KS,KANSAS,HEPATITIS A,7,0.31,1970,33
10616,KY,KENTUCKY,HEPATITIS A,21,0.64,1970,33
10617,LA,LOUISIANA,HEPATITIS A,17,0.46,1970,33
10618,MA,MASSACHUSETTS,HEPATITIS A,56,0.98,1970,33
10619,MD,MARYLAND,HEPATITIS A,16,0.4,1970,33
10620,ME,MAINE,HEPATITIS A,3,0.3,1970,33
10621,MI,MICHIGAN,HEPATITIS A,72,0.8,1970,33
10622,MN,MINNESOTA,HEPATITIS A,6,0.16,1970,33
10623,MO,MISSOURI,HEPATITIS A,22,0.47,1970,33
10624,MS,MISSISSIPPI,HEPATITIS A,3,0.13,1970,33
10625,NC,NORTH CAROLINA,HEPATITIS A,12,0.23,1970,33
10626,ND,NORTH DAKOTA,HEPATITIS A,1,0.16,1970,33
10627,NE,NEBRASKA,HEPATITIS A,4,0.27,1970,33
10628,NH,NEW HAMPSHIRE,HEPATITIS A,7,0.92,1970,33
10629,NJ,NEW JERSEY,HEPATITIS A,36,0.49,1970,33
10630,NM,NEW MEXICO,HEPATITIS A,8,0.76,1970,33
10631,NY,NEW YORK,HEPATITIS A,116,0.63,1970,33
10632,OH,OHIO,HEPATITIS A,38,0.35,1970,33
10633,OK,OKLAHOMA,HEPATITIS A,4,0.15,1970,33
10634,OR,OREGON,HEPATITIS A,23,1.07,1970,33
10635,PA,PENNSYLVANIA,HEPATITIS A,51,0.43,1970,33
10636,RI,RHODE ISLAND,HEPATITIS A,3,0.31,1970,33
10637,SC,SOUTH CAROLINA,HEPATITIS A,10,0.38,1970,33
10638,TN,TENNESSEE,HEPATITIS A,20,0.5,1970,33
10639,TX,TEXAS,HEPATITIS A,50,0.43,1970,33
10640,UT,UTAH,HEPATITIS A,7,0.64,1970,33
10641,VA,VIRGINIA,HEPATITIS A,129,2.72,1970,33
10642,VT,VERMONT,HEPATITIS A,3,0.66,1970,33
10643,WA,WASHINGTON,HEPATITIS A,33,0.96,1970,33
10644,WI,WISCONSIN,HEPATITIS A,21,0.47,1970,33
10645,WV,WEST VIRGINIA,HEPATITIS A,5,0.28,1970,33
10646,WY,WYOMING,HEPATITIS A,3,0.88,1970,33
10647,AK,ALASKA,HEPATITIS A,1,0.32,1970,34
10648,AL,ALABAMA,HEPATITIS A,4,0.11,1970,34
10649,AR,ARKANSAS,HEPATITIS A,2,0.1,1970,34
10650,AZ,ARIZONA,HEPATITIS A,14,0.74,1970,34
10651,CA,CALIFORNIA,HEPATITIS A,244,1.2,1970,34
10652,CO,COLORADO,HEPATITIS A,30,1.3,1970,34
10653,CT,CONNECTICUT,HEPATITIS A,21,0.69,1970,34
10654,DC,DISTRICT OF COLUMBIA,HEPATITIS A,10,1.33,1970,34
10655,DE,DELAWARE,HEPATITIS A,2,0.35,1970,34
10656,FL,FLORIDA,HEPATITIS A,27,0.38,1970,34
10657,GA,GEORGIA,HEPATITIS A,27,0.57,1970,34
10658,HI,HAWAII,HEPATITIS A,3,0.37,1970,34
10659,IA,IOWA,HEPATITIS A,3,0.11,1970,34
10660,ID,IDAHO,HEPATITIS A,2,0.27,1970,34
10661,IL,ILLINOIS,HEPATITIS A,26,0.23,1970,34
10662,IN,INDIANA,HEPATITIS A,16,0.3,1970,34
10663,KS,KANSAS,HEPATITIS A,8,0.36,1970,34
10664,KY,KENTUCKY,HEPATITIS A,16,0.49,1970,34
10665,LA,LOUISIANA,HEPATITIS A,10,0.27,1970,34
10666,MA,MASSACHUSETTS,HEPATITIS A,47,0.82,1970,34
10667,MD,MARYLAND,HEPATITIS A,8,0.2,1970,34
10668,ME,MAINE,HEPATITIS A,29,2.86,1970,34
10669,MI,MICHIGAN,HEPATITIS A,74,0.82,1970,34
10670,MN,MINNESOTA,HEPATITIS A,5,0.13,1970,34
10671,MO,MISSOURI,HEPATITIS A,20,0.42,1970,34
10672,MS,MISSISSIPPI,HEPATITIS A,3,0.13,1970,34
10673,MT,MONTANA,HEPATITIS A,1,0.14,1970,34
10674,NC,NORTH CAROLINA,HEPATITIS A,22,0.42,1970,34
10675,NJ,NEW JERSEY,HEPATITIS A,45,0.62,1970,34
10676,NM,NEW MEXICO,HEPATITIS A,2,0.19,1970,34
10677,NV,NEVADA,HEPATITIS A,1,0.19,1970,34
10678,NY,NEW YORK,HEPATITIS A,79,0.43,1970,34
10679,OH,OHIO,HEPATITIS A,38,0.35,1970,34
10680,OK,OKLAHOMA,HEPATITIS A,9,0.34,1970,34
10681,OR,OREGON,HEPATITIS A,22,1.02,1970,34
10682,PA,PENNSYLVANIA,HEPATITIS A,77,0.65,1970,34
10683,RI,RHODE ISLAND,HEPATITIS A,19,1.97,1970,34
10684,SC,SOUTH CAROLINA,HEPATITIS A,3,0.11,1970,34
10685,TN,TENNESSEE,HEPATITIS A,26,0.65,1970,34
10686,TX,TEXAS,HEPATITIS A,64,0.56,1970,34
10687,UT,UTAH,HEPATITIS A,2,0.18,1970,34
10688,VA,VIRGINIA,HEPATITIS A,67,1.41,1970,34
10689,VT,VERMONT,HEPATITIS A,8,1.76,1970,34
10690,WA,WASHINGTON,HEPATITIS A,15,0.44,1970,34
10691,WI,WISCONSIN,HEPATITIS A,16,0.36,1970,34
10692,WV,WEST VIRGINIA,HEPATITIS A,2,0.11,1970,34
10693,WY,WYOMING,HEPATITIS A,3,0.88,1970,34
10694,AK,ALASKA,HEPATITIS A,1,0.32,1970,35
10695,AL,ALABAMA,HEPATITIS A,20,0.57,1970,35
10696,AR,ARKANSAS,HEPATITIS A,2,0.1,1970,35
10697,AZ,ARIZONA,HEPATITIS A,30,1.58,1970,35
10698,CA,CALIFORNIA,HEPATITIS A,187,0.92,1970,35
10699,CO,COLORADO,HEPATITIS A,14,0.61,1970,35
10700,CT,CONNECTICUT,HEPATITIS A,17,0.56,1970,35
10701,DC,DISTRICT OF COLUMBIA,HEPATITIS A,1,0.13,1970,35
10702,FL,FLORIDA,HEPATITIS A,36,0.5,1970,35
10703,GA,GEORGIA,HEPATITIS A,16,0.34,1970,35
10704,HI,HAWAII,HEPATITIS A,4,0.5,1970,35
10705,IA,IOWA,HEPATITIS A,9,0.32,1970,35
10706,ID,IDAHO,HEPATITIS A,1,0.14,1970,35
10707,IL,ILLINOIS,HEPATITIS A,46,0.41,1970,35
10708,IN,INDIANA,HEPATITIS A,9,0.17,1970,35
10709,KS,KANSAS,HEPATITIS A,8,0.36,1970,35
10710,KY,KENTUCKY,HEPATITIS A,19,0.58,1970,35
10711,LA,LOUISIANA,HEPATITIS A,7,0.19,1970,35
10712,MA,MASSACHUSETTS,HEPATITIS A,40,0.7,1970,35
10713,MD,MARYLAND,HEPATITIS A,15,0.37,1970,35
10714,ME,MAINE,HEPATITIS A,7,0.69,1970,35
10715,MI,MICHIGAN,HEPATITIS A,73,0.81,1970,35
10716,MN,MINNESOTA,HEPATITIS A,7,0.18,1970,35
10717,MO,MISSOURI,HEPATITIS A,2,0.04,1970,35
10718,MS,MISSISSIPPI,HEPATITIS A,3,0.13,1970,35
10719,NC,NORTH CAROLINA,HEPATITIS A,14,0.27,1970,35
10720,NE,NEBRASKA,HEPATITIS A,3,0.2,1970,35
10721,NH,NEW HAMPSHIRE,HEPATITIS A,4,0.53,1970,35
10722,NJ,NEW JERSEY,HEPATITIS A,48,0.66,1970,35
10723,NM,NEW MEXICO,HEPATITIS A,7,0.66,1970,35
10724,NV,NEVADA,HEPATITIS A,1,0.19,1970,35
10725,NY,NEW YORK,HEPATITIS A,103,0.56,1970,35
10726,OH,OHIO,HEPATITIS A,35,0.33,1970,35
10727,OK,OKLAHOMA,HEPATITIS A,5,0.19,1970,35
10728,OR,OREGON,HEPATITIS A,28,1.3,1970,35
10729,PA,PENNSYLVANIA,HEPATITIS A,43,0.36,1970,35
10730,RI,RHODE ISLAND,HEPATITIS A,7,0.73,1970,35
10731,SC,SOUTH CAROLINA,HEPATITIS A,7,0.26,1970,35
10732,TN,TENNESSEE,HEPATITIS A,14,0.35,1970,35
10733,TX,TEXAS,HEPATITIS A,4,0.03,1970,35
10734,UT,UTAH,HEPATITIS A,7,0.64,1970,35
10735,VA,VIRGINIA,HEPATITIS A,30,0.63,1970,35
10736,VT,VERMONT,HEPATITIS A,8,1.76,1970,35
10737,WA,WASHINGTON,HEPATITIS A,29,0.84,1970,35
10738,WI,WISCONSIN,HEPATITIS A,10,0.22,1970,35
10739,WV,WEST VIRGINIA,HEPATITIS A,9,0.51,1970,35
10740,WY,WYOMING,HEPATITIS A,1,0.29,1970,35
10741,AL,ALABAMA,HEPATITIS A,11,0.31,1970,36
10742,AZ,ARIZONA,HEPATITIS A,11,0.58,1970,36
10743,CA,CALIFORNIA,HEPATITIS A,120,0.59,1970,36
10744,CO,COLORADO,HEPATITIS A,8,0.35,1970,36
10745,CT,CONNECTICUT,HEPATITIS A,15,0.49,1970,36
10746,DC,DISTRICT OF COLUMBIA,HEPATITIS A,1,0.13,1970,36
10747,FL,FLORIDA,HEPATITIS A,27,0.38,1970,36
10748,GA,GEORGIA,HEPATITIS A,22,0.47,1970,36
10749,IA,IOWA,HEPATITIS A,15,0.53,1970,36
10750,ID,IDAHO,HEPATITIS A,1,0.14,1970,36
10751,IL,ILLINOIS,HEPATITIS A,19,0.17,1970,36
10752,IN,INDIANA,HEPATITIS A,15,0.29,1970,36
10753,KS,KANSAS,HEPATITIS A,5,0.22,1970,36
10754,KY,KENTUCKY,HEPATITIS A,27,0.82,1970,36
10755,LA,LOUISIANA,HEPATITIS A,12,0.32,1970,36
10756,MA,MASSACHUSETTS,HEPATITIS A,40,0.7,1970,36
10757,MD,MARYLAND,HEPATITIS A,17,0.42,1970,36
10758,ME,MAINE,HEPATITIS A,7,0.69,1970,36
10759,MI,MICHIGAN,HEPATITIS A,65,0.72,1970,36
10760,MN,MINNESOTA,HEPATITIS A,4,0.1,1970,36
10761,MO,MISSOURI,HEPATITIS A,15,0.32,1970,36
10762,MS,MISSISSIPPI,HEPATITIS A,3,0.13,1970,36
10763,MT,MONTANA,HEPATITIS A,2,0.28,1970,36
10764,NC,NORTH CAROLINA,HEPATITIS A,15,0.29,1970,36
10765,NE,NEBRASKA,HEPATITIS A,3,0.2,1970,36
10766,NH,NEW HAMPSHIRE,HEPATITIS A,3,0.39,1970,36
10767,NJ,NEW JERSEY,HEPATITIS A,45,0.62,1970,36
10768,NM,NEW MEXICO,HEPATITIS A,11,1.04,1970,36
10769,NV,NEVADA,HEPATITIS A,16,3.08,1970,36
10770,NY,NEW YORK,HEPATITIS A,39,0.21,1970,36
10771,OH,OHIO,HEPATITIS A,21,0.2,1970,36
10772,OK,OKLAHOMA,HEPATITIS A,11,0.42,1970,36
10773,OR,OREGON,HEPATITIS A,23,1.07,1970,36
10774,PA,PENNSYLVANIA,HEPATITIS A,80,0.67,1970,36
10775,RI,RHODE ISLAND,HEPATITIS A,15,1.56,1970,36
10776,SC,SOUTH CAROLINA,HEPATITIS A,9,0.34,1970,36
10777,TN,TENNESSEE,HEPATITIS A,18,0.45,1970,36
10778,TX,TEXAS,HEPATITIS A,85,0.74,1970,36
10779,UT,UTAH,HEPATITIS A,3,0.27,1970,36
10780,VA,VIRGINIA,HEPATITIS A,31,0.65,1970,36
10781,VT,VERMONT,HEPATITIS A,14,3.08,1970,36
10782,WA,WASHINGTON,HEPATITIS A,19,0.55,1970,36
10783,WI,WISCONSIN,HEPATITIS A,7,0.16,1970,36
10784,WV,WEST VIRGINIA,HEPATITIS A,2,0.11,1970,36
10785,WY,WYOMING,HEPATITIS A,1,0.29,1970,36
10786,AK,ALASKA,HEPATITIS A,3,0.95,1970,37
10787,AL,ALABAMA,HEPATITIS A,7,0.2,1970,37
10788,AR,ARKANSAS,HEPATITIS A,2,0.1,1970,37
10789,AZ,ARIZONA,HEPATITIS A,5,0.26,1970,37
10790,CA,CALIFORNIA,HEPATITIS A,162,0.8,1970,37
10791,CT,CONNECTICUT,HEPATITIS A,13,0.42,1970,37
10792,DC,DISTRICT OF COLUMBIA,HEPATITIS A,4,0.53,1970,37
10793,DE,DELAWARE,HEPATITIS A,5,0.89,1970,37
10794,FL,FLORIDA,HEPATITIS A,27,0.38,1970,37
10795,GA,GEORGIA,HEPATITIS A,17,0.36,1970,37
10796,HI,HAWAII,HEPATITIS A,3,0.37,1970,37
10797,IA,IOWA,HEPATITIS A,21,0.74,1970,37
10798,ID,IDAHO,HEPATITIS A,2,0.27,1970,37
10799,IL,ILLINOIS,HEPATITIS A,45,0.4,1970,37
10800,IN,INDIANA,HEPATITIS A,12,0.23,1970,37
10801,KS,KANSAS,HEPATITIS A,14,0.62,1970,37
10802,KY,KENTUCKY,HEPATITIS A,25,0.76,1970,37
10803,LA,LOUISIANA,HEPATITIS A,7,0.19,1970,37
10804,MA,MASSACHUSETTS,HEPATITIS A,39,0.68,1970,37
10805,MD,MARYLAND,HEPATITIS A,16,0.4,1970,37
10806,ME,MAINE,HEPATITIS A,9,0.89,1970,37
10807,MI,MICHIGAN,HEPATITIS A,84,0.94,1970,37
10808,MN,MINNESOTA,HEPATITIS A,6,0.16,1970,37
10809,MO,MISSOURI,HEPATITIS A,8,0.17,1970,37
10810,MS,MISSISSIPPI,HEPATITIS A,3,0.13,1970,37
10811,MT,MONTANA,HEPATITIS A,1,0.14,1970,37
10812,NC,NORTH CAROLINA,HEPATITIS A,20,0.38,1970,37
10813,ND,NORTH DAKOTA,HEPATITIS A,1,0.16,1970,37
10814,NE,NEBRASKA,HEPATITIS A,2,0.13,1970,37
10815,NH,NEW HAMPSHIRE,HEPATITIS A,3,0.39,1970,37
10816,NJ,NEW JERSEY,HEPATITIS A,56,0.77,1970,37
10817,NM,NEW MEXICO,HEPATITIS A,3,0.28,1970,37
10818,NV,NEVADA,HEPATITIS A,2,0.38,1970,37
10819,NY,NEW YORK,HEPATITIS A,113,0.62,1970,37
10820,OH,OHIO,HEPATITIS A,32,0.3,1970,37
10821,OK,OKLAHOMA,HEPATITIS A,9,0.34,1970,37
10822,OR,OREGON,HEPATITIS A,26,1.21,1970,37
10823,PA,PENNSYLVANIA,HEPATITIS A,63,0.53,1970,37
10824,RI,RHODE ISLAND,HEPATITIS A,11,1.14,1970,37
10825,SC,SOUTH CAROLINA,HEPATITIS A,5,0.19,1970,37
10826,TN,TENNESSEE,HEPATITIS A,27,0.67,1970,37
10827,TX,TEXAS,HEPATITIS A,85,0.74,1970,37
10828,VA,VIRGINIA,HEPATITIS A,61,1.28,1970,37
10829,VT,VERMONT,HEPATITIS A,8,1.76,1970,37
10830,WA,WASHINGTON,HEPATITIS A,45,1.31,1970,37
10831,WI,WISCONSIN,HEPATITIS A,7,0.16,1970,37
10832,WV,WEST VIRGINIA,HEPATITIS A,4,0.23,1970,37
10833,WY,WYOMING,HEPATITIS A,1,0.29,1970,37
10834,AK,ALASKA,HEPATITIS A,1,0.32,1970,38
10835,AL,ALABAMA,HEPATITIS A,19,0.54,1970,38
10836,AR,ARKANSAS,HEPATITIS A,8,0.41,1970,38
10837,AZ,ARIZONA,HEPATITIS A,25,1.32,1970,38
10838,CA,CALIFORNIA,HEPATITIS A,226,1.11,1970,38
10839,CO,COLORADO,HEPATITIS A,35,1.52,1970,38
10840,CT,CONNECTICUT,HEPATITIS A,20,0.65,1970,38
10841,DC,DISTRICT OF COLUMBIA,HEPATITIS A,2,0.27,1970,38
10842,DE,DELAWARE,HEPATITIS A,3,0.53,1970,38
10843,FL,FLORIDA,HEPATITIS A,54,0.75,1970,38
10844,GA,GEORGIA,HEPATITIS A,1,0.02,1970,38
10845,HI,HAWAII,HEPATITIS A,6,0.75,1970,38
10846,IA,IOWA,HEPATITIS A,7,0.25,1970,38
10847,ID,IDAHO,HEPATITIS A,3,0.41,1970,38
10848,IL,ILLINOIS,HEPATITIS A,34,0.3,1970,38
10849,IN,INDIANA,HEPATITIS A,5,0.1,1970,38
10850,KS,KANSAS,HEPATITIS A,6,0.27,1970,38
10851,KY,KENTUCKY,HEPATITIS A,16,0.49,1970,38
10852,LA,LOUISIANA,HEPATITIS A,17,0.46,1970,38
10853,MA,MASSACHUSETTS,HEPATITIS A,41,0.71,1970,38
10854,MD,MARYLAND,HEPATITIS A,22,0.55,1970,38
10855,ME,MAINE,HEPATITIS A,16,1.58,1970,38
10856,MI,MICHIGAN,HEPATITIS A,74,0.82,1970,38
10857,MN,MINNESOTA,HEPATITIS A,4,0.1,1970,38
10858,MO,MISSOURI,HEPATITIS A,20,0.42,1970,38
10859,MS,MISSISSIPPI,HEPATITIS A,9,0.4,1970,38
10860,MT,MONTANA,HEPATITIS A,4,0.56,1970,38
10861,NC,NORTH CAROLINA,HEPATITIS A,20,0.38,1970,38
10862,NE,NEBRASKA,HEPATITIS A,2,0.13,1970,38
10863,NH,NEW HAMPSHIRE,HEPATITIS A,9,1.18,1970,38
10864,NJ,NEW JERSEY,HEPATITIS A,71,0.98,1970,38
10865,NM,NEW MEXICO,HEPATITIS A,2,0.19,1970,38
10866,NV,NEVADA,HEPATITIS A,2,0.38,1970,38
